,0,1,2,3
0,Fragrance / Aroma,8.5,Uniform Cup,10.0
1,Flavor,8.42,Clean Cup,10.0
2,Aftertaste,7.92,Balance,8.08
3,Salt / Acid,8.5,Overall,8.17
4,Bitter / Sweet,8.25,Defects,0.0
5,Mouthfeel,8.0,Total Cup Points,85.83
