,0,1,2,3
0,Country of Origin,Vietnam,Number of Bags,10
1,Farm Name,K'HO FINE ROBUSTA,Bag Weight,30 kg
2,Lot Number,R1,In-Country Partner,Japan Coffee Exchange
3,Mill,K'HO FINE ROBUSTA,Harvest Year,2022 / 2023
4,ICO Number,,Grading Date,"June 16th, 2023"
5,Company,BABROS COFFEE WORKS,Owner,BABROS COFFEE WORKS
6,Altitude,1200,Variety,TR4
7,Region,DON DUONG,Status,Completed
8,Producer,UCK & KIYOTAKA,Processing Method,AEROBIC NATURAL
