,0,1,2,3
0,Fragrance / Aroma,7.92,Uniform Cup,10.0
1,Flavor,7.58,Clean Cup,10.0
2,Aftertaste,7.5,Balance,7.33
3,Salt / Acid,7.5,Overall,7.58
4,Bitter / Sweet,7.58,Defects,0.0
5,Mouthfeel,7.58,Total Cup Points,80.58
