,0,1,2,3
0,Fragrance / Aroma,8.25,Uniform Cup,10.0
1,Flavor,8.08,Clean Cup,10.0
2,Aftertaste,8.0,Balance,8.0
3,Salt / Acid,8.25,Overall,8.67
4,Bitter / Sweet,8.0,Defects,0.0
5,Mouthfeel,8.0,Total Cup Points,85.25
