,0,1,2,3
0,Country of Origin,Vietnam,Number of Bags,1
1,Farm Name,Highland Pearl Corpolation,Bag Weight,20 kg
2,Lot Number,CQU2023008,In-Country Partner,Japan Coffee Exchange
3,Mill,Highland Pearl Corpolation,Harvest Year,2022
4,ICO Number,,Grading Date,"April 7th, 2023"
5,Company,Coffee Quality Union,Owner,Coffee Quality Union
6,Altitude,500,Variety,Local Robusta
7,Region,"Cu M' gar District,Dak Lak Province",Status,Completed
8,Producer,Highland Pearl Corpolation,Processing Method,Natural / Dry
