,0,1,2,3
0,Country of Origin,Vietnam,Number of Bags,10
1,Farm Name,K'HO FINE ROBUSTA,Bag Weight,30 kg
2,Lot Number,R2,In-Country Partner,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C)
3,Mill,K'HO FINE ROBUSTA,Harvest Year,2022 / 2023
4,ICO Number,,Grading Date,"June 26th, 2023"
5,Company,Babros Coffee Works,Owner,BABROS COFFEE WORKS
6,Altitude,1200,Variety,Dak Nong
7,Region,Don Duong,Status,Completed
8,Producer,UCK & KIYOTAKA,Processing Method,Aerobic natural
