,0,1
0,Expiration,"June 25th, 2024"
1,Certification Body,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C)
2,Certification Address,"1 G Dinh Bo Linh Street, 15 ward, Binh Thanh District, Ho Chi Minh City"
3,Certification Contact,"Hai,Tran Quang. - 84 8 98 967 8708"
