,0,1,2,3
0,Country of Origin,Vietnam,Number of Bags,160
1,Farm Name,B'lao Rubia Farm,Bag Weight,30 kg
2,Lot Number,ERoF,In-Country Partner,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)
3,Mill,Sun Drying,Harvest Year,2022 / 2023
4,ICO Number,,Grading Date,"March 24th, 2023"
5,Company,B'lao Rubia Farm,Owner,Tran Vu Ngoc Anh
6,Altitude,900,Variety,
7,Region,Lâm Đồng,Status,Completed
8,Producer,B'lao Rubia Farm,Processing Method,Washed / Wet
