,0,1,2,3
0,Fragrance / Aroma,8.17,Uniform Cup,10.0
1,Flavor,7.75,Clean Cup,10.0
2,Aftertaste,7.58,Balance,7.67
3,Salt / Acid,7.67,Overall,7.75
4,Bitter / Sweet,7.67,Defects,0.0
5,Mouthfeel,7.75,Total Cup Points,82.0
