,0,1,2,3
0,Country of Origin,India,Number of Bags,320
1,Farm Name,Sethuraman Estate,Bag Weight,60 kg
2,Lot Number,14/1148/2022/17-RPAB,In-Country Partner,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)
3,Mill,Kaapi Royale,Harvest Year,2017 / 2018
4,ICO Number,14/1148/2022/17,Grading Date,"December 1st, 2022"
5,Company,Kaapi Royale,Owner,Nishant Gurjer
6,Altitude,970,Variety,SLN 274
7,Region,Chikmagalur Karnataka India,Status,Completed
8,Producer,Kaapi Royale,Processing Method,Washed / Wet
