,0,1,2,3
0,Fragrance / Aroma,7.92,Uniform Cup,10.0
1,Flavor,7.5,Clean Cup,10.0
2,Aftertaste,7.5,Balance,7.5
3,Salt / Acid,7.83,Overall,7.58
4,Bitter / Sweet,7.83,Defects,0.0
5,Mouthfeel,7.42,Total Cup Points,81.08
