,0,1,2,3
0,Fragrance / Aroma,7.83,Uniform Cup,10.0
1,Flavor,7.58,Clean Cup,10.0
2,Aftertaste,7.58,Balance,7.83
3,Salt / Acid,7.75,Overall,7.75
4,Bitter / Sweet,7.83,Defects,0.0
5,Mouthfeel,7.83,Total Cup Points,82.0
