,0,1,2,3
0,Country of Origin,Vietnam,Number of Bags,167
1,Farm Name,Daddy And Son Farm,Bag Weight,30 kg
2,Lot Number,CF0120230420,In-Country Partner,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C)
3,Mill,dry mill,Harvest Year,2022 / 2023
4,ICO Number,20/04/2023,Grading Date,"April 24th, 2023"
5,Company,Chau Coffee Supply,Owner,Luong Bich Chau
6,Altitude,800,Variety,TR4 / TRS1
7,Region,Nam Yang - Gia Lai,Status,Completed
8,Producer,Chau Coffee Supply,Processing Method,Natural / Dry
