,0,1,2,3
0,Country of Origin,Vietnam,Number of Bags,53
1,Farm Name,CONG TY CP FINE ROBUSTA VIET NAM,Bag Weight,30 kg
2,Lot Number,BIN 08 - FRinstitute-103,In-Country Partner,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C)
3,Mill,DRY MILL,Harvest Year,2022 / 2023
4,ICO Number,,Grading Date,"May 9th, 2023"
5,Company,CONG TY CP FINE ROBUSTA VIET NAM,Owner,FINE ROBUSTA INSTITUTE
6,Altitude,650 – 700,Variety,
7,Region,Dak Lak,Status,Completed
8,Producer,CONG TY CP FINE ROBUSTA VIET NAM,Processing Method,Washed / Wet
