,0,1,2,3
0,Fragrance / Aroma,8.33,Uniform Cup,10.0
1,Flavor,7.92,Clean Cup,10.0
2,Aftertaste,7.67,Balance,7.92
3,Salt / Acid,7.67,Overall,8.0
4,Bitter / Sweet,7.92,Defects,0.0
5,Mouthfeel,7.83,Total Cup Points,83.25
