,0,1,2,3
0,Country of Origin,Guatemala,Number of Bags,540
1,Farm Name,MULTIPLE SMALLHOLDER FARMS,Bag Weight,30 kg
2,Lot Number,GF-23392,In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,MULTIPLE SMALLHOLDER FARMS,Harvest Year,2022
4,ICO Number,11/15/179,Grading Date,"November 3rd, 2022"
5,Company,"HARU International Corp, 守成咖啡",Owner,Anderson Wong
6,Altitude,1200~1600,Variety,Caturra
7,Region,Antigua,Status,Completed
8,Producer,La Minita,Processing Method,Washed / Wet
