,0,1,2,3
0,Aroma,7.17,Uniformity,10.0
1,Flavor,7.17,Clean Cup,10.0
2,Aftertaste,6.92,Sweetness,10.0
3,Acidity,7.17,Overall,7.08
4,Body,7.42,Defects,0.0
5,Balance,7.17,Total Cup Points,80.08
