,0,1,2,3
0,Country of Origin,Costa Rica,Number of Bags,250
1,Farm Name,Gamboa Farm,Bag Weight,35 kg
2,Lot Number,12077-01,In-Country Partner,Specialty Coffee Association of Costa Rica
3,Mill,Beneficio Montañas del Diamante,Harvest Year,2022 / 2023
4,ICO Number,5-0025-0132,Grading Date,"April 19th, 2023"
5,Company,CECA S.A.,Owner,Joselyn Morales Quesada
6,Altitude,1850,Variety,Caturra
7,Region,Tarrazu,Status,Completed
8,Producer,Martin Gutierrez,Processing Method,Washed / Wet
