,0,1,2,3
0,Country of Origin,Honduras,Number of Bags,16
1,Farm Name,finca de la casa,Bag Weight,30 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,HN04",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,De la casa,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,"Kao,SIng-jay"
6,Altitude,1800,Variety,Typica
7,Region,"San Andrés, Lempira",Status,Completed
8,Producer,Irma Consuelo Bonilla Hernandez,Processing Method,Pulped natural / honey
