,0,1,2,3
0,Country of Origin,Madagascar,Number of Bags,5
1,Farm Name,Mandroso,Bag Weight,60 kg
2,Lot Number,1,In-Country Partner,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)
3,Mill,On the farm (mechanical huller and polisher / sorting by hand),Harvest Year,2022
4,ICO Number,,Grading Date,"December 12th, 2022"
5,Company,Vao Vao Sarl,Owner,Marc Dumont
6,Altitude,1500,Variety,Bourbon
7,Region,Itasy,Status,Completed
8,Producer,Marc Dumont,Processing Method,Washed / Wet
