,0,1,2,3
0,Country of Origin,Mexico,Number of Bags,300
1,Farm Name,Iniciativas comerciales Navarras SA,Bag Weight,60 kg
2,Lot Number,461,In-Country Partner,Centro Agroecológico del Café A.C.
3,Mill,Beneficio humedo/seco,Harvest Year,2022 / 2023
4,ICO Number,002-1404-0159,Grading Date,"May 30th, 2023"
5,Company,Descafeinadores Mexicano SA. de CV,Owner,Descafeinadores Mexicanos S.A de C.V
6,Altitude,850-1100,Variety,Bourbon
7,Region,Minas Gerais,Status,Completed
8,Producer,Iniciativas comerciales Navarras SA,Processing Method,SEMI LAVADO 2/3
