,0,1,2,3
0,Aroma,8.0,Uniformity,10.0
1,Flavor,8.0,Clean Cup,10.0
2,Aftertaste,7.92,Sweetness,10.0
3,Acidity,8.25,Overall,8.17
4,Body,8.0,Defects,0.0
5,Balance,8.0,Total Cup Points,86.33
