,0,1,2,3
0,Country of Origin,Colombia,Number of Bags,1
1,Farm Name,Escalera,Bag Weight,30 kg
2,Lot Number,CQU2022019,In-Country Partner,Japan Coffee Exchange
3,Mill,Escalera,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"December 22nd, 2022"
5,Company,Coffee Quality Union,Owner,Coffee Quality Union
6,Altitude,1300-1800,Variety,"Caturra,Colombia,Castillo"
7,Region,Cauca,Status,Completed
8,Producer,Escalera,Processing Method,Washed / Wet
