,0,1,2,3
0,Country of Origin,Brazil,Number of Bags,440
1,Farm Name,Various farm,Bag Weight,60 kg
2,Lot Number,0038,In-Country Partner,Japan Coffee Exchange
3,Mill,Dry Mill of Cocapil,Harvest Year,2022 / 2023
4,ICO Number,002/1738/0038,Grading Date,"April 17th, 2023"
5,Company,Marubeni Corporation,Owner,Ikuto Uehara
6,Altitude,1200,Variety,
7,Region,Alta Mogiana-Ibiraci,Status,Completed
8,Producer,Cocapil,Processing Method,Natural / Dry
