,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,1
1,Farm Name,花蓮縣秀林鄉特用作物（咖啡）產銷第一班Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,Bag Weight,10 kg
2,Lot Number,2022/01,In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,花蓮縣秀林鄉特用作物（咖啡）產銷第一班Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,Harvest Year,2022
4,ICO Number,,Grading Date,"December 12th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Taiwan Coffee Laboratory 台灣咖啡研究室
6,Altitude,300-500,Variety,Typica
7,Region,秀林鄉Show Linxia Township,Status,Completed
8,Producer,李志祥 Li Zhi-xia,Processing Method,Natural / Dry
