,0,1,2,3
0,Country of Origin,Mexico,Number of Bags,32
1,Farm Name,Finca San José,Bag Weight,69 kg
2,Lot Number,002,In-Country Partner,Centro Agroecológico del Café A.C.
3,Mill,"Coatepec, Veracruz",Harvest Year,2021 / 2022
4,ICO Number,3093,Grading Date,"August 11th, 2022"
5,Company,La Villa Coffee Company LLC,Owner,Alvin La Vaughn Landry
6,Altitude,1200,Variety,Typica
7,Region,"Coatepec, Veracruz",Status,Completed
8,Producer,José Gerardo Gutierrez Morales,Processing Method,Washed / Wet
