,0,1,2,3
0,Country of Origin,Ethiopia,Number of Bags,100
1,Farm Name,Gerbicho Lela Cooperative,Bag Weight,60 kg
2,Lot Number,1,In-Country Partner,Kenya Coffee Traders Association
3,Mill,Sidama Coffee Farmers Cooperative Union,Harvest Year,2021 / 2022
4,ICO Number,010/0145/0064,Grading Date,"September 9th, 2022"
5,Company,Taylor Winch Coffee Ltd,Owner,Taylor Winch (Coffee) Ltd.
6,Altitude,2000,Variety,Ethiopian Heirlooms
7,Region,Sidama,Status,Completed
8,Producer,Sidama Coffee Farmers Cooperative Union,Processing Method,Washed / Wet
