,0,1,2,3
0,Country of Origin,Honduras,Number of Bags,345
1,Farm Name,La Cuchilla,Bag Weight,30 kg
2,Lot Number,8,In-Country Partner,Instituto Hondureño del Café
3,Mill,Global Coffee,Harvest Year,2022 / 2023
4,ICO Number,13-111-030,Grading Date,"April 25th, 2023"
5,Company,Mercon Honduras,Owner,Comercial Internacional de Granos de Honduras SA de CV
6,Altitude,1368,Variety,Catuai
7,Region,"Centro, Lagunetillas-Ajuterique, Comayagua",Status,Completed
8,Producer,Jose Nahum Maldonado,Processing Method,Washed / Wet
