,0,1,2,3
0,Country of Origin,Mexico,Number of Bags,1
1,Farm Name,San Antonio,Bag Weight,30 kg
2,Lot Number,CQU2023009,In-Country Partner,Japan Coffee Exchange
3,Mill,San Antonio,Harvest Year,2022
4,ICO Number,,Grading Date,"June 5th, 2023"
5,Company,Coffee Quality Union,Owner,Coffee Quality Union
6,Altitude,900-1250,Variety,Mixture of Hybrid Varieties(H15₊H16₊H17)
7,Region,"Tapachula,Chiapas",Status,Completed
8,Producer,Edward Teddy Esteve,Processing Method,Anaerobic Natural
