,0,1
0,Expiration,"July 14th, 2023"
1,Certification Body,FABB Academy of Coffee
2,Certification Address,"FABB ACADEMY OF COFFEE 259/313 SUKHUMVIT 71 RD., SOI PRIDI BANOMYONG 15, VHADANA BKK, 10110 THAILAND"
3,Certification Contact,Janejira Kamonsawedkun - +(66) 095 095 9593
