,0,1,2,3
0,Country of Origin,Costa Rica,Number of Bags,10
1,Farm Name,AMA EL AROMA Micro lot - Sunrise,Bag Weight,30 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,CR01",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,Micro mill,Harvest Year,2021
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Taiwan Coffee Laboratory 台灣咖啡研究室
6,Altitude,1450,Variety,SL28
7,Region,west Villege,Status,Completed
8,Producer,various producers,Processing Method,Pulped natural / honey
