,0,1,2,3
0,Country of Origin,Ethiopia,Number of Bags,320
1,Farm Name,Bisrat Melaku Washing Station,Bag Weight,60 kg
2,Lot Number,0065,In-Country Partner,METAD Agricultural Development plc
3,Mill,Washing Station,Harvest Year,2021 / 2022
4,ICO Number,010/ 0218/0065,Grading Date,"September 19th, 2022"
5,Company,Tadesse Desta import export,Owner,Tadesse Desta
6,Altitude,2361,Variety,Ethiopian Heirlooms
7,Region,Addis Ababa,Status,Completed
8,Producer,Bisrat Melaku,Processing Method,Natural / Dry
