,0,1,2,3
0,Country of Origin,"Tanzania, United Republic Of",Number of Bags,320
1,Farm Name,MASHIMA AMCOS,Bag Weight,60 kg
2,Lot Number,CN 4127220163/4189220459,In-Country Partner,Kenya Coffee Traders Association
3,Mill,GOURMET COFFEE MILL,Harvest Year,2022 / 2023
4,ICO Number,033/0010/032,Grading Date,"January 3rd, 2023"
5,Company,DORMAN TANZANIA LTD,Owner,Gilbert Maina
6,Altitude,1400-1700,Variety,Bourbon
7,Region,KILIMANJARO,Status,Completed
8,Producer,DORMAN TANZANIA LTD,Processing Method,Washed / Wet
