,0,1,2,3
0,Country of Origin,Vietnam,Number of Bags,3
1,Farm Name,CupnCare,Bag Weight,5 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,VN02",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,CupnCare,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Taiwan Coffee Laboratory 台灣咖啡研究室
6,Altitude,650,Variety,Catimor
7,Region,Quang Tri,Status,Completed
8,Producer,TONG PHUC LAM TRADING SERVICES COMPANY LIMITED,Processing Method,Natural / Dry
