,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,1
1,Farm Name,森悅高峰咖啡莊園,Bag Weight,30 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,T039",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,森悅高峰咖啡莊園,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Taiwan Coffee Laboratory 台灣咖啡研究室
6,Altitude,1400,Variety,SL34
7,Region,Nantou,Status,Completed
8,Producer,吳振宏,Processing Method,Washed / Wet
