,0,1,2,3
0,Country of Origin,Honduras,Number of Bags,9
1,Farm Name,Maria Bonita,Bag Weight,15 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,HN01",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,"Cafe Organic Marcala, S.A. (COMSA)",Harvest Year,2021
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Taiwan Coffee Laboratory 台灣咖啡研究室
6,Altitude,1470,Variety,Parainema
7,Region,"San Jose, La Paz",Status,Completed
8,Producer,Pedro Turcios,Processing Method,Natural / Dry
