,0,1,2,3
0,Country of Origin,Honduras,Number of Bags,275
1,Farm Name,Finca El Roble,Bag Weight,69 kg
2,Lot Number,377,In-Country Partner,Instituto Hondureño del Café
3,Mill,Beneficio Santa Rosa Sa de CV,Harvest Year,2022 / 2023
4,ICO Number,13-123-217,Grading Date,"June 12th, 2023"
5,Company,Beneficio Santa Rosa Sa de CV,Owner,Ronald Alvarado López
6,Altitude,1350,Variety,Catuai
7,Region,Opalaca,Status,Completed
8,Producer,Humberto Ardon,Processing Method,Washed / Wet
