,0,1,2,3
0,Country of Origin,Guatemala,Number of Bags,5
1,Farm Name,La Colina,Bag Weight,30 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,GT02",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,Dinámica Café,Harvest Year,2022
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Taiwan Coffee Laboratory 台灣咖啡研究室
6,Altitude,1668,Variety,Gesha
7,Region,Chimaltenango,Status,Completed
8,Producer,Emilio Antonio Medina Garcia,Processing Method,Washed / Wet
