,0,1,2,3
0,Country of Origin,Indonesia,Number of Bags,1
1,Farm Name,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",Bag Weight,60 kg
2,Lot Number,CQU2022018,In-Country Partner,Japan Coffee Exchange
3,Mill,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",Harvest Year,2022
4,ICO Number,,Grading Date,"September 21st, 2022"
5,Company,Coffee Quality Union,Owner,Coffee Quality Union
6,Altitude,1250-1350,Variety,"Jember,TIM-TIM,Ateng"
7,Region,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",Status,Completed
8,Producer,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",Processing Method,Wet Hulling
