,0,1,2,3
0,Country of Origin,Colombia,Number of Bags,3
1,Farm Name,Finca Mallorca,Bag Weight,10 kg
2,Lot Number,CQU2023001,In-Country Partner,Japan Coffee Exchange
3,Mill,Finca Mallorca,Harvest Year,2022
4,ICO Number,,Grading Date,"March 6th, 2023"
5,Company,Coffee Quality Union,Owner,Coffee Quality Union
6,Altitude,1600,Variety,"Castillo,Caturra,Bourbon"
7,Region,"Caicedonia,Valle del Cauca",Status,Completed
8,Producer,Finca Mallorca,Processing Method,Washed / Wet
