,0,1,2,3
0,Country of Origin,Kenya,Number of Bags,13
1,Farm Name,Kenyan Highlands,Bag Weight,5 kg
2,Lot Number,CQU2023004,In-Country Partner,Japan Coffee Exchange
3,Mill,TAYLOR WINCH,Harvest Year,2022
4,ICO Number,,Grading Date,"April 7th, 2023"
5,Company,Coffee Quality Union,Owner,Coffee Quality Union
6,Altitude,1500-1950,Variety,"SL28,SL34,Ruiru11"
7,Region,Kericho,Status,Completed
8,Producer,Slelected small holder,Processing Method,Washed / Wet
