,0,1,2,3
0,Country of Origin,Costa Rica,Number of Bags,100
1,Farm Name,HACIENDA SAN IGNACIO,Bag Weight,69 kg
2,Lot Number,OIC 5-019-0037/ Contenedor: DRYU3106597 / Cliente: O COFFEE,In-Country Partner,Specialty Coffee Association of Costa Rica
3,Mill,Beneficio La Giorgia,Harvest Year,2022 / 2023
4,ICO Number,,Grading Date,"March 29th, 2023"
5,Company,Grupo ECOM,Owner,Ruddy Azofeifa
6,Altitude,1200,Variety,Caturra
7,Region,occidente,Status,Completed
8,Producer,FJO ORLICH HNO LTDA,Processing Method,Washed / Wet
