,0,1,2,3
0,Country of Origin,El Salvador,Number of Bags,20
1,Farm Name,San Nicolas,Bag Weight,30 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,SV01",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,San Nicolas,Harvest Year,2021
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Taiwan Coffee Laboratory 台灣咖啡研究室
6,Altitude,1500,Variety,Pacamara
7,Region,Chalatenango,Status,Completed
8,Producer,various producers,Processing Method,Pulped natural / honey
