,0,1,2,3
0,Country of Origin,Laos,Number of Bags,26
1,Farm Name,Nongluang Bolaven Plateau,Bag Weight,60 kg
2,Lot Number,DCN03.11.2022,In-Country Partner,Specialty Coffee Association of Indonesia
3,Mill,Dao Heuang Group,Harvest Year,2022
4,ICO Number,,Grading Date,"December 30th, 2022"
5,Company,Dao Heuang Group,Owner,Dao Heuang Group
6,Altitude,1200 - 1300,Variety,Catimor
7,Region,"Nongluang Bolaven Plateau, Champasack, Lao PDR",Status,Completed
8,Producer,Dao Heuang Group,Processing Method,Natural / Dry
