,0,1,2,3
0,Country of Origin,Honduras,Number of Bags,9
1,Farm Name,La Bendicion,Bag Weight,15 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,HN03",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,"COMSA (Cafe Organic Marcala, S.A)",Harvest Year,2021
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Taiwan Coffee Laboratory 台灣咖啡研究室
6,Altitude,1600,Variety,Lempira
7,Region,"Marcala, La Paz",Status,Completed
8,Producer,Joaquin Suazo,Processing Method,Washed / Wet
