,0,1,2,3
0,Country of Origin,Indonesia,Number of Bags,320
1,Farm Name,Wahana Graha Makmur,Bag Weight,60 kg
2,Lot Number,015/1686/057,In-Country Partner,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)
3,Mill,PT. Wahana Graha Makmur Medan,Harvest Year,2022
4,ICO Number,,Grading Date,"August 22nd, 2022"
5,Company,InterAmerican Coffee,Owner,Charles Umeano
6,Altitude,1350,Variety,
7,Region,Sumatra,Status,Completed
8,Producer,PT. Wahana Graha Makmur Group,Processing Method,Pulped natural / honey
