,0,1,2,3
0,Country of Origin,Ethiopia,Number of Bags,31
1,Farm Name,ELIAS OMER,Bag Weight,60 kg
2,Lot Number,YIRGACHEFFE KONGA,In-Country Partner,METAD Agricultural Development plc
3,Mill,ELIAS OMER,Harvest Year,2022 / 2023
4,ICO Number,,Grading Date,"June 7th, 2023"
5,Company,KEBIR COFFEE TRADING PLC,Owner,Erkihun DEGU
6,Altitude,1896,Variety,Ethiopian Yirgacheffe
7,Region,SNNP,Status,Completed
8,Producer,KEBIR COFFEE TRADING PLC,Processing Method,Natural / Dry
