,0,1,2,3
0,Country of Origin,El Salvador,Number of Bags,1
1,Farm Name,"Rosario de Maria II, Area de La Pila",Bag Weight,2 kg
2,Lot Number,0423A01,In-Country Partner,Salvadoran Coffee Council
3,Mill,"Optimum Coffee, San Salvador, El Salvador",Harvest Year,2023
4,ICO Number,,Grading Date,"March 8th, 2023"
5,Company,Aprentium Enterprises LLC,Owner,Roselia Yglesias
6,Altitude,1200,Variety,Maragogype
7,Region,"Volcan de San Vicente, La Paz, El Salvador",Status,Completed
8,Producer,Roselia Yglesias,Processing Method,Natural / Dry
