,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,1
1,Farm Name,七彩琉璃咖啡莊園 Chi Tsai Liu Li Ecological Farm,Bag Weight,90 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,T050",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,七彩琉璃咖啡莊園,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Taiwan Coffee Laboratory 台灣咖啡研究室
6,Altitude,1200,Variety,Sl34+Gesha
7,Region,Chiayi,Status,Completed
8,Producer,莊家榮,Processing Method,Natural / Dry
