,0,1,2,3
0,Country of Origin,Colombia,Number of Bags,600
1,Farm Name,EL PRADO,Bag Weight,30 kg
2,Lot Number,3-59-0654,In-Country Partner,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE
3,Mill,NEIVA,Harvest Year,2022 / 2023
4,ICO Number,3-59-0654,Grading Date,"January 13th, 2023"
5,Company,carcafe ltda,Owner,rodrigo amaya
6,Altitude,1650,Variety,Caturra
7,Region,HUILA,Status,Completed
8,Producer,FRANKLIN DUSSAN,Processing Method,Washed / Wet
