,0,1,2,3
0,Country of Origin,Guatemala,Number of Bags,320
1,Farm Name,MI CAFECITO & LA PROVIDENCIA,Bag Weight,60 kg
2,Lot Number,1,In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,MI CAFECITO + AGUA SANTA LA PROVIDENCIA + AGUA SANTA,Harvest Year,2021
4,ICO Number,,Grading Date,"December 30th, 2022"
5,Company,Mr.Brown Cafe,Owner,MR.BROWN CAFE
6,Altitude,1280-1325,Variety,"MARSELLESA, CATUAI, CATURRA & MARSELLESA, ANACAFE 14, CATUAI"
7,Region,NEW ORIENTE & HUEHUETENANGO,Status,Completed
8,Producer,500 PRODUCERS,Processing Method,Washed / Wet
