,0,1,2,3
0,Country of Origin,United States (Hawaii),Number of Bags,4
1,Farm Name,various farms,Bag Weight,15 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,US02",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,Aloha Hills Kona Coffee,Harvest Year,2022
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Taiwan Coffee Laboratory 台灣咖啡研究室
6,Altitude,400-600,Variety,Typica
7,Region,Ka'u,Status,Completed
8,Producer,Isla Custom Coffees,Processing Method,Washed / Wet
