,0,1,2,3
0,Country of Origin,Colombia,Number of Bags,375
1,Farm Name,,Bag Weight,70 kg
2,Lot Number,3/37/1370,In-Country Partner,Japan Coffee Exchange
3,Mill,"Racafé & CIA S.C.A, Km 5 Vía Pereira",Harvest Year,2022 / 2023
4,ICO Number,3/37/1370,Grading Date,"April 17th, 2023"
5,Company,Marubeni Corporation,Owner,Ikuto Uehara
6,Altitude,1411,Variety,
7,Region,Pereira,Status,Completed
8,Producer,RACAFE & CIA SCA,Processing Method,Washed / Wet
