,0,1,2,3
0,Country of Origin,United States (Hawaii),Number of Bags,80
1,Farm Name,Hokukano Ranch,Bag Weight,15 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,US01",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,Kona Coffee & Tea,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Taiwan Coffee Laboratory 台灣咖啡研究室
6,Altitude,600,Variety,Typica
7,Region,Kona,Status,Completed
8,Producer,Kona Hills LLC,Processing Method,Washed / Wet
