,0,1,2,3
0,Country of Origin,Brazil,Number of Bags,600
1,Farm Name,Walter Matter,Bag Weight,60 kg
2,Lot Number,1058 y 1059,In-Country Partner,Centro Agroecológico del Café A.C.
3,Mill,Beneficio humedo/seco,Harvest Year,2021 / 2022
4,ICO Number,002/1208/1016,Grading Date,"November 18th, 2022"
5,Company,Descafeinadores Mexicano SA. de CV,Owner,Descafeinadores Mexicanos S.A de C.V
6,Altitude,850-1100,Variety,Mundo Novo
7,Region,Minas Gerais,Status,Completed
8,Producer,Walter Matter,Processing Method,SEMI-LAVADO
