,0,1,2,3
0,Country of Origin,Brazil,Number of Bags,620
1,Farm Name,Fazenda Pedra Preta,Bag Weight,30 kg
2,Lot Number,MVB-QCert-001/2022,In-Country Partner,Brazil Specialty Coffee Association
3,Mill,COPAG VARGINHA,Harvest Year,2022 / 2023
4,ICO Number,002/1643/0049,Grading Date,"November 3rd, 2022"
5,Company,Man Volcafe Brasil Ltda.,Owner,ED&F Man Volcafe Brasil Ltda.
6,Altitude,1100,Variety,Mundo Novo
7,Region,MANTIQUEIRA / SUL DE MINAS,Status,Completed
8,Producer,Eduardo Niero de Souza,Processing Method,Natural / Dry
