,0,1,2,3
0,Country of Origin,Ethiopia,Number of Bags,320
1,Farm Name,Uraga Bisrat washing station,Bag Weight,60 kg
2,Lot Number,0065,In-Country Partner,METAD Agricultural Development plc
3,Mill,dry mill,Harvest Year,2021 / 2022
4,ICO Number,ICO: 010/ 0218/0065,Grading Date,"September 30th, 2022"
5,Company,TADESSE DESTA IMPORT & EXPORT,Owner,Tadessa Desta Amene
6,Altitude,2150 - 2350,Variety,Ethiopian Heirlooms
7,Region,Southern Ethiopia Guji,Status,Completed
8,Producer,Bisrat Melaku,Processing Method,Natural / Dry
