,0,1,2,3
0,Country of Origin,Guatemala,Number of Bags,8
1,Farm Name,Finca Vista Hermosa,Bag Weight,30 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,GT03",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,El Vergel,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Carlos Pascual - 潘仕杰
6,Altitude,1900,Variety,Gesha
7,Region,"Guatemala, Fraijanes, Santa Rosa",Status,Completed
8,Producer,Fredy Orantes,Processing Method,Natural / Dry
