,0,1,2,3
0,Country of Origin,Myanmar,Number of Bags,100
1,Farm Name,Aromatic,Bag Weight,30 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,MM01",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,Aromatic,Harvest Year,2022
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,PeiHsun Lin
6,Altitude,1400,Variety,"Catimor,Catuai,Caturra,Bourbon"
7,Region,South Shan State,Status,Completed
8,Producer,Lim,Processing Method,Natural / Dry
