,0,1,2,3
0,Country of Origin,Nicaragua,Number of Bags,275
1,Farm Name,Sajonia Estate Coffee S.A.,Bag Weight,69 kg
2,Lot Number,1,In-Country Partner,Asociación de Cafés Especiales de Nicaragua
3,Mill,Sajonia Estate Coffee S.A.,Harvest Year,2022 / 2023
4,ICO Number,017/411,Grading Date,"April 20th, 2023"
5,Company,SAJONIA ESTATE COFFEE S.A.,Owner,"Wataru & Co., Ltd."
6,Altitude,1000,Variety,Sarchimor
7,Region,Jinotega,Status,Completed
8,Producer,Sajonia Estate Coffee S.A.,Processing Method,Washed / Wet
