,0,1,2,3
0,Country of Origin,"Tanzania, United Republic Of",Number of Bags,320
1,Farm Name,MASHIMA AMCOS,Bag Weight,60 kg
2,Lot Number,CN 4127230034/4189230113,In-Country Partner,Kenya Coffee Traders Association
3,Mill,GOURMET COFFEE MILL,Harvest Year,2022 / 2023
4,ICO Number,033/DE/503/002 and 033/DE/268/002,Grading Date,"February 1st, 2023"
5,Company,DORMAN (T) LIMITED,Owner,Gilbert Maina
6,Altitude,1400-1700,Variety,Bourbon
7,Region,KILIMANJARO,Status,Completed
8,Producer,DORMAN (T) LIMITED,Processing Method,Washed / Wet
