,0,1,2,3
0,Country of Origin,Guatemala,Number of Bags,200
1,Farm Name,varias fincas,Bag Weight,30 kg
2,Lot Number,11/15/59,In-Country Partner,Asociacion Nacional Del Café
3,Mill,El Trebol/Linea Gourmet,Harvest Year,2022 / 2023
4,ICO Number,11/15/59,Grading Date,"March 22nd, 2023"
5,Company,"Peter Schoenfeld, S.A.",Owner,Yesica Alejandra Martìnez Vàsquez
6,Altitude,1500-1600,Variety,Caturra
7,Region,Sierra de las minas,Status,Completed
8,Producer,varios productores,Processing Method,Washed / Wet
