,0,1,2,3
0,Country of Origin,Vietnam,Number of Bags,1
1,Farm Name,Gaia Farms,Bag Weight,1 kg
2,Lot Number,221221,In-Country Partner,Firedancer Coffee Consultants
3,Mill,Hulling Facility,Harvest Year,2022 / 2023
4,ICO Number,,Grading Date,"April 10th, 2023"
5,Company,Brew Baby Coffee Company,Owner,Rodney Murray
6,Altitude,5400,Variety,Catimor
7,Region,Lam Dong Province,Status,Completed
8,Producer,Viet Coffee Company Limited,Processing Method,Pulped natural / honey
