,0,1,2,3
0,Country of Origin,Colombia,Number of Bags,285
1,Farm Name,N / A,Bag Weight,70 kg
2,Lot Number,3-0068-00886,In-Country Partner,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE
3,Mill,Trilladora Popayán,Harvest Year,2022 / 2023
4,ICO Number,3-0068-00886,Grading Date,"February 22nd, 2023"
5,Company,ECOM COLOMBIA,Owner,Raúl Vargas
6,Altitude,1700,Variety,Caturra
7,Region,Cauca,Status,Completed
8,Producer,Regional producers,Processing Method,Washed / Wet
